FireId,Organization,RegionState,RegionStateName,ReportingUnitId,ReportingUnitName,CalendarYear,FiscalYear,FireNumber,FireCode,FireName,FireTypePr,FireType,ProtectionType,CompletionCode,IndexTime,IndexTimeSource,SizeClass,LastModified,CauseCategory,Reimbursable,BurningIndex,Nrvc,Area,AreaName,Owner,MergedFire,ParentFire,OriginAccuracy,LocationMethod,CoordinateType,Datum,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,LatitudeEntered,LongitudeEntered,LatitudeNAD83,LongitudeNAD83,UtmZone,UtmEasting,UtmNorthing,StartDate,DetectionType,StartAcres,InitialAttackTime,InitialAttackAcres,ContainedTime,ContainedAcres,ControlDate,ControlAcres,OutDate,Topography,Aspect,Slope,Elevation,Station,FbpsFuelModel,MsgcModel,MsgcSlope,MsgcGrass,MsgcClimate,SpecialArea,WildlandUrban,IntersectFuels,AddToNFPORS,Total-Structures,Residence-Structures,Other-Structures,AuthorizedByName,AuthorizedByTitle,AuthorizedDate,EnteredByName,EnteredByTitle,EnteredDate,ProvidedByName,ProvidedByTitle,ProvidedDate,CostAccountingCode,Assist-BillNumber,Assist-CollectionContact,Assist-AmountBilled,Assist-BilledDate,Assist-AmountCollected,Assist-CollectedDate,Fuel-ProjectNumber,Fuel-NfporsTreatmentNumber,Fuel-Escape,Fuel-EscapeFireNumber,Fuel-CostPerAcre,Fuel-FiringTypeStrategy,Fuel-FiringTypeMethod,Fuel-TreatmentComplexity,Fuel-1-Objective,Fuel-2-Objective,Fuel-3-Objective,Trespass-GeneralCause,Trespass-SpecificCause,Trespass-OtherCause,Trespass-People,Trespass-Status,Trespass-AuthorizedByName,Trespass-AuthorizedByTitle,Trespass-Reason,Trespass-CaseNumber,Trespass-AmountBilled,Trespass-BilledDate,Trespass-AmountRecovered,Trespass-RecoveredDate,Trespass-AmountToOrganization,Trespass-ToOrganizationDate,Trespass-Investigated,Trespass-Suspect,Trespass-SuspectType,Ecology-1-FireRegimeGroup,Ecology-1-PreFireConditionClass,Ecology-1-PostFireConditionClass,Ecology-1-Acres,Ecology-2-FireRegimeGroup,Ecology-2-PreFireConditionClass,Ecology-2-PostFireConditionClass,Ecology-2-Acres,Ecology-3-FireRegimeGroup,Ecology-3-PreFireConditionClass,Ecology-3-PostFireConditionClass,Ecology-3-Acres,Ecology-4-FireRegimeGroup,Ecology-4-PreFireConditionClass,Ecology-4-PostFireConditionClass,Ecology-4-Acres,Ecology-5-FireRegimeGroup,Ecology-5-PreFireConditionClass,Ecology-5-PostFireConditionClass,Ecology-5-Acres,InitialAttack-1-ResourceType,InitialAttack-1-Amount,InitialAttack-2-ResourceType,InitialAttack-2-Amount,InitialAttack-3-ResourceType,InitialAttack-3-Amount,InitialAttack-4-ResourceType,InitialAttack-4-Amount,InitialAttack-5-ResourceType,InitialAttack-5-Amount,Statistics-1-State,Statistics-1-County,Statistics-1-Owner,Statistics-1-VegType,Statistics-1-Acres,Statistics-2-State,Statistics-2-County,Statistics-2-Owner,Statistics-2-VegType,Statistics-2-Acres,Statistics-3-State,Statistics-3-County,Statistics-3-Owner,Statistics-3-VegType,Statistics-3-Acres,Statistics-4-State,Statistics-4-County,Statistics-4-Owner,Statistics-4-VegType,Statistics-4-Acres,Statistics-5-State,Statistics-5-County,Statistics-5-Owner,Statistics-5-VegType,Statistics-5-Acres,Statistics-6-State,Statistics-6-County,Statistics-6-Owner,Statistics-6-VegType,Statistics-6-Acres,Statistics-7-State,Statistics-7-County,Statistics-7-Owner,Statistics-7-VegType,Statistics-7-Acres,Statistics-8-State,Statistics-8-County,Statistics-8-Owner,Statistics-8-VegType,Statistics-8-Acres
230078,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1011,,OLD KENTUC,11,1,1,Incomplete,3/27/1971 0:00,Start,C,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.593828,-80.541496,35:37.8,-80:32:29.39,25.593828,-80.541496,25.593828,-80.541496,17,546042.9,2830783.7,3/27/1971,L,69,3/27/1971 0:00,,,,3/27/1971,69,3/27/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230079,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1012,,HAWK SITE,11,1,1,Incomplete,3/27/1971 0:00,Start,E,,Human,,,,,,3,,,,,,,,,,,,,,,,,,3/27/1971,L,320,3/27/1971 0:00,,,,3/27/1971,320,3/27/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230080,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1013,,COOPERTOWN,11,1,1,Incomplete,4/3/1971 0:00,Start,E,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.787894,-80.543958,47:16.4,-80:32:38.25,25.787894,-80.543958,25.787894,-80.543958,17,545721.6,2852274,4/3/1971,L,360,4/3/1971 0:00,,,,4/3/1971,360,4/3/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230081,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1014,,BAD LUCK F,11,1,1,Incomplete,4/8/1971 0:00,Start,F,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.755862,-80.502867,45:21.1,-80:30:10.32,25.755862,-80.502867,25.755862,-80.502867,17,549854.7,2848741.6,4/8/1971,L,1850,4/8/1971 0:00,,,,4/8/1971,1850,4/8/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230082,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1015,,GOTCHA FIR,11,1,1,Incomplete,4/11/1971 0:00,Start,G,8/24/2018,Human,,,,,,3,,,,,LL,NAD83,25.719461,-80.566601,43:10.1,-80:33:59.76,25.719461,-80.566601,25.719461,-80.566601,17,543476.3,2844687.9,4/11/1971,L,100,4/11/1971 0:00,,,,4/11/1971,18500,4/11/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230083,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1016,,TAMIAMI TR,11,1,1,Incomplete,4/30/1971 0:00,Start,G,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.824367,-80.44212,49:27.7,-80:26:31.63,25.824367,-80.44212,25.824367,-80.44212,17,555914.7,2856352.4,4/30/1971,L,31365,4/30/1971 0:00,,,,4/30/1971,31365,4/30/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,31365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230084,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1017,,SCORCHED D,11,1,1,Incomplete,5/10/1971 0:00,Start,D,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.392806,-80.68035,23:34.1,-80:40:49.26,25.392806,-80.68035,25.392806,-80.68035,17,532152.6,2808482.2,5/10/1971,L,100,5/10/1971 0:00,,,,5/10/1971,100,5/10/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,9,,,,,,,,,,,,,Unknown,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230085,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1018,,HAIR FAIR,11,1,1,Incomplete,5/13/1971 0:00,Start,E,9/25/2009,Natural,,,,,,3,,,,,LL,NAD83,25.400221,-80.779185,24:00.8,-80:46:45.07,25.400221,-80.779185,25.400221,-80.779185,17,522209.7,2809283.2,5/13/1971,L,300,5/13/1971 0:00,,,,5/13/1971,300,5/13/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230086,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1019,,CAPE SABLE,49,4,9,Incomplete,6/8/1971 0:00,Start,D,9/25/2009,Human,,,,,,3,,,,,LL,NAD83,25.158094,-81.12698,09:29.1,-81:07:37.13,25.158094,-81.12698,25.158094,-81.12698,17,487202.9,2782459.5,6/8/1971,L,240,6/8/1971,,,,6/8/1971,240,6/8/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230087,NPS,SERO,Southeast Region,FLEVP,Everglades National Park,1971,1971,1020,,BLOCK V,49,4,9,Incomplete,7/28/1971 0:00,Start,C,,Human,,,,,,3,,,,,,,,,,,,,,,,,,7/28/1971,L,17,7/28/1971,,,,7/28/1971,17,7/28/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,3,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
